h3,n_total,n_parking,severity_mean,severity_sum,n_days,peak_share,weekend_share,persistence,top_violation,area,junction,police_station,top_vehicle,lat,lon,cis_raw,CIS,class,rank,total_days
8961892e937ffff,3079,3079,0.4637528418317636,1427.895,134,0.49204287106203315,0.3254303345241962,0.8874172185430463,WRONG PARKING,Shivaji Nagar,BTP211 - Central Street Junction,Shivajinagar,PASSENGER AUTO,12.982733210890897,77.60250530686746,1060.9151528392506,83.02,Chronic,12,151
8960145b543ffff,2914,2914,0.48404770075497594,1410.5149999999999,147,0.33802333562113934,0.3359643102264928,0.9735099337748344,WRONG PARKING,AT Extension,BTP057 - Anand Rao Junction,Upparpet,CAR,12.978554434046352,77.57354967361115,1020.5412967078319,82.56,Chronic,13,151
8960145b30fffff,2592,2592,0.46445216049382715,1203.86,137,0.6871141975308642,0.35648148148148145,0.9072847682119205,WRONG PARKING,Orion,No Junction,Malleshwaram,PASSENGER AUTO,13.010673683143166,77.55483414866346,994.6035705216252,82.25,Chronic,14,151
89618925b7bffff,2653,2653,0.466287598944591,1237.061,132,0.5620052770448549,0.28910667169242366,0.8741721854304636,WRONG PARKING,Shoukath Mohalla,"BTP080 - NR Road, SP Road Junction",Halasuru Gate,SCOOTER,12.964622554379812,77.58474838218396,943.2989480256513,81.62,Chronic,15,151
896016964b7ffff,2804,2804,0.47007845934379455,1318.1,116,0.5388730385164051,0.30920114122681885,0.7682119205298014,WRONG PARKING,Fortuna Acacia,No Junction,Kodigehalli,SCOOTER,13.07255955260552,77.58716314506412,925.4755278646397,81.4,Chronic,16,151
8960145b2a7ffff,2498,2498,0.4645336269015212,1160.405,137,0.45076060848678945,0.36749399519615694,0.9072847682119205,WRONG PARKING,Ranganathapura,No Junction,Malleshwaram,CAR,13.007417927733565,77.57102461180281,855.098487657941,80.46,Chronic,17,151
8960145b5c7ffff,2394,2394,0.46845029239766084,1121.47,143,0.45864661654135336,0.2543859649122807,0.9470198675496688,WRONG PARKING,Chickpet Circle,BTP043 - Upparpet Junction,City Market,SCOOTER,12.970000833394062,77.57460972111427,850.6955553851516,80.39,Chronic,18,151
89601690193ffff,2548,2548,0.4944230769230769,1259.79,141,0.2488226059654631,0.3072998430141287,0.9337748344370861,NO PARKING,Begur Chikkanahalli,No Junction,Chikkajala,CAR,13.185608135049264,77.68064176165208,846.2427508914925,80.33,Chronic,19,151
8960145b307ffff,2524,2524,0.46350039619651345,1169.875,132,0.3989698890649762,0.3696513470681458,0.8741721854304636,WRONG PARKING,Rajaji Nagar,"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,CAR,13.007469925642374,77.55417907160238,821.5348685991961,79.98,Chronic,20,151
8960145b377ffff,2163,2163,0.45883495145631065,992.4599999999999,144,0.5173370319001387,0.41423948220064727,0.9536423841059603,WRONG PARKING,Kirloskar Foundry,BTP023 - Mahalaxmi Layout Entrance,Malleshwaram,CAR,13.012818011780556,77.55246351391641,778.5752116762039,79.34,Chronic,21,151
8960145b55bffff,2213,2213,0.4627686398553999,1024.107,144,0.350655219159512,0.3343877089923181,0.9536423841059603,WRONG PARKING,R Subanna Circle,BTP058 - Subbanna Junction,Upparpet,CAR,12.979613223528302,77.57657585825223,737.0211496494824,78.69,Chronic,22,151
8960145a24fffff,2514,2514,0.43202863961813837,1086.12,112,0.44709626093874305,0.2744630071599045,0.7417218543046358,NO PARKING,Mallige Thotta,"BTP070 - Cholurpalya Junction, Magadi Road",Magadi Road,SCOOTER,12.973287826618714,77.54999956782973,714.8237148682608,78.32,Chronic,23,151
8960145b16bffff,1891,1891,0.48637969328397673,919.744,135,0.4621893178212586,0.2548915917503966,0.8940397350993378,WRONG PARKING,Manjunatha Nagar,BTP027 - Modi Bridge Junction,Vijayanagara,SCOOTER,12.996799481813879,77.54918850116988,675.990081756105,77.66,Chronic,24,151
89618920963ffff,1509,1509,0.6699403578528826,1010.9399999999999,79,0.5354539430086149,0.2001325381047051,0.5231788079470199,PARKING IN A MAIN ROAD,Kadubisanahalli Junction,No Junction,HAL Old Airport,CAR,12.94069311529191,77.69512487563676,587.6090358300528,75.99,Chronic,25,151
8960145b4cbffff,2009,2009,0.4639273270283723,932.03,107,0.3852663016426083,0.18068690890990544,0.7086092715231788,WRONG PARKING,Mantri Altiue Apartment,BTP042 - Minsk Square Junction (CTO),Shivajinagar,SCOOTER,12.98167451890872,77.59947811999245,579.9675337471443,75.84,Chronic,26,151
8960145b073ffff,1410,1410,0.46373758865248227,653.87,140,0.6929078014184397,0.3829787234042553,0.9271523178807947,WRONG PARKING,RR Palace,No Junction,Malleshwaram,CAR,12.998865016133278,77.5720847986004,548.4815484026113,75.17,Chronic,27,151
8961892e16bffff,1305,1305,0.6144275862068965,801.828,117,0.4697318007662835,0.3302681992337165,0.7748344370860927,PARKING IN A MAIN ROAD,Royal Heritage,No Junction,Mahadevapura,SCOOTER,12.99640764193975,77.66716347604782,546.4048371153231,75.13,Chronic,28,151
8961892e387ffff,1837,1837,0.5346314643440392,982.1179999999999,107,0.17038649972781708,0.20794774088187262,0.7086092715231788,NO PARKING,Venkatappa Colony,No Junction,Banaswadi,PASSENGER AUTO,12.999583246892685,77.67625343565611,541.4791374387407,75.02,Chronic,29,151
8961892e9a3ffff,1577,1577,0.45589220038046924,718.942,126,0.5719720989220038,0.3462270133164236,0.8344370860927153,NO PARKING,Tasker Town,BTP051 - Safina Plaza Junction,Shivajinagar,SCOOTER,12.97844134799895,77.60724811631391,536.6605986889349,74.91,Chronic,30,151
89618925b6fffff,1407,1407,0.4813468372423596,677.255,139,0.4591329068941009,0.3226723525230988,0.9205298013245033,WRONG PARKING,Dodpete,BTP082 - KR Market Junction,City Market,SCOOTER,12.965709724440659,77.57935123577114,505.4265474867856,74.2,Chronic,31,151
8961892c9d7ffff,1754,1754,0.4336687571265678,760.655,124,0.3244013683010262,0.29646522234891676,0.8211920529801324,NO PARKING,Vinayaka Nagar,No Junction,Hebbala,SCOOTER,13.035144005155646,77.5907477030071,495.54266244799015,73.97,Chronic,32,151
8960145b3b7ffff,1429,1429,0.4873156053184045,696.374,124,0.4919524142757173,0.37578726382085376,0.8211920529801324,WRONG PARKING,Navarang Circle,BTP008 - Navarang Theatre,Malleshwaram,SCOOTER,12.997858688504897,77.55221395118276,495.32978476459715,73.96,Chronic,33,151
8960145b58bffff,1451,1451,0.5154479669193659,747.915,121,0.3735354927636113,0.3762922122674018,0.8013245033112583,WRONG PARKING,Santhusapete,"BTP083 - AS Char Street, Mysore Road",Chamarajpet,PASSENGER AUTO,12.966796715509812,77.57395437899618,493.6837738896674,73.92,Chronic,34,151
89618925b63ffff,1329,1329,0.4790142964635064,636.61,125,0.5176824680210684,0.3581640331075997,0.8278145695364238,WRONG PARKING,Potters Colony,"BTP080 - NR Road, SP Road Junction",Halasuru Gate,CAR,12.963564041258365,77.58172203843483,460.71036712560857,73.1,Chronic,36,151
89618925b2bffff,1425,1425,0.49326666666666663,702.905,119,0.3782456140350877,0.3312280701754386,0.7880794701986755,WRONG PARKING,Kalasipalyam,BTP104 - Medical College Circle,City Market,SCOOTER,12.959301336693967,77.57804041970552,460.94326133333334,73.1,Chronic,35,151
8961892cb7bffff,1406,1406,0.472624466571835,664.51,107,0.5753911806543386,0.29871977240398295,0.7086092715231788,WRONG PARKING,Fortune Acacia,No Junction,Kodigehalli,SCOOTER,13.06935538079265,77.5865073615551,455.2003361713752,72.96,Chronic,37,151
89618920b0fffff,1318,1318,0.4794119878603945,631.865,131,0.3998482549317147,0.26858877086494687,0.8675496688741722,NO PARKING,Marathahalli,No Junction,HAL Old Airport,SCOOTER,12.957781055162462,77.701442892283,442.0191227728145,72.61,Chronic,38,151
8960169052fffff,1286,1286,0.5159206842923795,663.4739999999999,136,0.2177293934681182,0.2869362363919129,0.9006622516556292,NO PARKING,Begur Chikkanahalli,No Junction,Chikkajala,CAR,13.182402701570084,77.67998407618401,428.69660505288743,72.24,Chronic,39,151
8960145a223ffff,1590,1590,0.48380503144654086,769.25,82,0.33773584905660375,0.38113207547169814,0.543046357615894,WRONG PARKING,RPC Layout,"BTP016 - 5th Main Road, RPC Layout",Vijayanagara,SCOOTER,12.9637041207288,77.53961509431802,410.43481294514555,71.72,Chronic,40,151
8961892cb4fffff,1246,1246,0.4714606741573033,587.4399999999999,99,0.6163723916532905,0.2841091492776886,0.6556291390728477,WRONG PARKING,Olivia,No Junction,Kodigehalli,SCOOTER,13.070415490648262,77.58953492414777,394.5440195252623,71.26,Chronic,41,151
8960145b6a7ffff,1637,1637,0.48739156994502136,797.86,80,0.20219914477703116,0.28283445326817347,0.5298013245033113,WRONG PARKING,Kalpana Circle,BTP032 - Windsor Circle,High ground,SCOOTER,12.99240244249606,77.587621962968,389.98633241392145,71.12,Chronic,42,151
8960145b547ffff,1350,1350,0.48785555555555554,658.605,101,0.28814814814814815,0.32592592592592595,0.6688741721854304,NO PARKING,Majestic Circle,BTP048 - Shanthala Junction,Chamarajpet,PASSENGER AUTO,12.97749564390411,77.5705236128301,377.48259773362764,70.73,Chronic,43,151
8961892e98fffff,1068,1068,0.4529681647940075,483.77,109,0.7668539325842697,0.5131086142322098,0.7218543046357616,NO PARKING,Sivanchetti Gardens,No Junction,Shivajinagar,CAR,12.98055854458168,77.61330313217205,365.4484757943299,70.35,Chronic,44,151
8960145a2b7ffff,1090,1090,0.505791743119266,551.313,117,0.41376146788990825,0.3504587155963303,0.7748344370860927,WRONG PARKING,Satellite Bus Stand Junction,"BTP095 - Satellite Bus Stand, Mysore Road",Byatarayanapura,SCOOTER,12.953006965122391,77.54304558560234,365.0163015755513,70.33,Chronic,45,151
8961892e933ffff,1098,1098,0.500264116575592,549.29,118,0.39344262295081966,0.3679417122040073,0.7814569536423841,WRONG PARKING,Chandni Chowk,BTP211 - Central Street Junction,Shivajinagar,SCOOTER,12.983791902122054,77.60553261750874,361.4687197481272,70.21,Chronic,46,151
8960145b323ffff,964,964,0.47875207468879666,461.517,119,0.7188796680497925,0.28734439834024894,0.7880794701986755,WRONG PARKING,Rajaji Nagar,BTP023 - Mahalaxmi Layout Entrance,Rajajinagar,SCOOTER,13.008554904176677,77.54878292418903,357.53610767332583,70.09,Chronic,47,151
89618925b67ffff,995,995,0.4953467336683417,492.87,130,0.4,0.42412060301507537,0.8609271523178808,WRONG PARKING,City Market Circle,BTP082 - KR Market Junction,City Market,SCOOTER,12.962505527498655,77.57869581850632,343.32475549668874,69.6,Chronic,49,151
89618925453ffff,1137,1137,0.5053192612137203,574.548,94,0.4309586631486368,0.17502198768689534,0.6225165562913907,NO PARKING,Saffron Square,No Junction,HAL Old Airport,CAR,12.931108774035975,77.68472005396784,343.2615670404864,69.6,Chronic,48,151
8960145b5dbffff,1102,1102,0.45438384754990924,500.731,108,0.5326678765880217,0.37477313974591653,0.7152317880794702,NO PARKING,Mysore Bank Circle,BTP038 - Mysore Bank Junction,Upparpet,SCOOTER,12.972118136651636,77.58066212569537,337.56567225874693,69.4,Chronic,50,151
8960145a69bffff,1027,1027,0.4915676728334956,504.84,114,0.3602726387536514,0.29990262901655307,0.7549668874172185,WRONG PARKING,Shopper Junction,BTP108 - Tagore Park Junction,Basavanagudi,SCOOTER,12.942222235206764,77.57173794273496,320.4271179246439,68.78,Chronic,51,151
8961892e3d3ffff,1188,1188,0.49810185185185185,591.745,80,0.3771043771043771,0.281986531986532,0.5298013245033113,WRONG PARKING,SM Layout,No Junction,K.R. Pura,CAR,13.005964636190964,77.68600190431579,318.9593558989453,68.73,Chronic,52,151
8960145b373ffff,877,877,0.4926259977194982,432.03299999999996,130,0.48916761687571264,0.3443557582668187,0.8609271523178808,WRONG PARKING,World Trade Centre,No Junction,Malleshwaram,PASSENGER AUTO,13.013877446502654,77.55548924418619,315.0702774521812,68.58,Chronic,53,151
8961892c98bffff,1129,1129,0.42933126660761733,484.715,114,0.3587245349867139,0.24977856510186006,0.7549668874172185,NO PARKING,Vinayaka Nagar,No Junction,Hebbala,CAR,13.034084442603538,77.58772044162937,307.39754752667477,68.29,Chronic,54,151
8960145b193ffff,1098,1098,0.45171675774134784,495.98499999999996,113,0.30327868852459017,0.2941712204007286,0.7483443708609272,NO PARKING,Block C,BTP074 - Leprosy Hospital Junction,Magadi Road,SCOOTER,12.976464345269372,77.55907568821858,303.74033090869614,68.15,Chronic,55,151
8960145b1b7ffff,1137,1137,0.4754705364995603,540.61,84,0.4124890061565523,0.23043095866314864,0.5562913907284768,WRONG PARKING,Sindhya Sunshine Apartment,BTP069 - MC Circle,Vijayanagara,SCOOTER,12.975432677542601,77.54762931624687,303.4630556908793,68.14,Chronic,56,151
8961892092bffff,1162,1162,0.5151867469879517,598.6469999999999,85,0.14716006884681584,0.10757314974182444,0.5629139072847682,NO PARKING,Rajiv Nagar,No Junction,HAL Old Airport,SCOOTER,12.936429615180558,77.69143727612253,290.9878466703902,67.64,Chronic,57,151
8960145a6d7ffff,925,925,0.45337297297297297,419.37,125,0.42162162162162165,0.3232432432432432,0.8278145695364238,NO PARKING,Gandhi Bazar Circle,BTP108 - Tagore Park Junction,Basavanagudi,SCOOTER,12.945426349293017,77.57239319319545,289.04598731340616,67.56,Chronic,58,151
8961892ec9bffff,1120,1120,0.45231249999999995,506.59,93,0.3410714285714286,0.2125,0.6158940397350994,NO PARKING,Nada Prabhu Kempegowda Circle,No Junction,Jeevanbheemanagar,SCOOTER,12.971852714139537,77.6565059964633,287.0889143708609,67.48,Chronic,59,151
89618920babffff,976,976,0.6263709016393443,611.338,85,0.09016393442622951,0.3155737704918033,0.5629139072847682,PARKING IN A MAIN ROAD,Soulspace Paradigm,No Junction,HAL Old Airport,CAR,12.951368871177712,77.70012777369645,286.8742225773532,67.47,Chronic,61,151
8960145b54bffff,911,911,0.4914599341383095,447.71999999999997,121,0.3194291986827662,0.3907793633369923,0.8013245033112583,WRONG PARKING,Anand Rao Circle,BTP057 - Anand Rao Junction,Upparpet,PASSENGER AUTO,12.981758530571385,77.57420503354466,286.9963280290199,67.47,Chronic,60,151
8961892e3b7ffff,694,694,0.6371412103746398,442.176,113,0.38904899135446686,0.3530259365994236,0.7483443708609272,PARKING IN A MAIN ROAD,Tin Factory Junction,No Junction,Mahadevapura,BUS (BMTC/KSRTC),12.997466177905894,77.67019333903689,283.6674189560471,67.34,Chronic,62,151
8960145b00fffff,958,958,0.45602296450939456,436.87,98,0.5104384133611691,0.2755741127348643,0.6490066225165563,WRONG PARKING,Shivanandappa Layout,No Junction,Malleshwaram,CAR,12.995660974935294,77.57142943996658,277.3334764866098,67.07,Chronic,63,151
8960145b423ffff,889,889,0.4511023622047244,401.03,116,0.41394825646794153,0.29471316085489313,0.7682119205298014,NO PARKING,Railway Officers Enclave,BTP058 - Subbanna Junction,Upparpet,CAR,12.978526573156591,77.5819730894831,264.32208478907023,66.5,Chronic,64,151
89618926397ffff,1122,1122,0.4758065953654189,533.855,86,0.12745098039215685,0.4358288770053476,0.5695364238410596,WRONG PARKING,Ajmera Annex,No Junction,Electronic City,SCOOTER,12.840364438188738,77.64644298941454,257.7699561095962,66.2,Chronic,65,151
89618920927ffff,880,880,0.5421079545454546,477.055,76,0.4090909090909091,0.048863636363636366,0.5033112582781457,PARKING IN A MAIN ROAD,Vajram Onyx,No Junction,HAL Old Airport,PASSENGER AUTO,12.932166211195808,77.68774993058796,255.7313497892836,66.11,Chronic,66,151
8960145b49bffff,876,876,0.43304223744292236,379.34499999999997,109,0.521689497716895,0.2876712328767123,0.7218543046357616,NO PARKING,Walton Road Circle,BTP063 - Siddalingaiah Circle,Cubbon Park,CAR,12.972061070861429,77.59751074869045,255.5715484925459,66.1,Chronic,67,151
8960145b077ffff,815,815,0.47593987730061343,387.89099999999996,95,0.5595092024539877,0.38404907975460123,0.6291390728476821,WRONG PARKING,Parisara Organic Junction,No Junction,Malleshwaram,CAR,12.997805905424,77.56905859325387,248.44175064201843,65.76,Chronic,68,151
8960145b147ffff,1054,1054,0.4891366223908918,515.55,91,0.04838709677419355,0.23719165085388993,0.6026490066225165,WRONG PARKING,KPTCL Quarters,"BTP011 - RR Kalyana Mantapa, Dr. Rajkumar Road",Rajajinagar,CAR,12.992510341531737,77.55392942506437,243.18188421277503,65.51,Chronic,69,151
89618925c6bffff,868,868,0.4438951612903226,385.301,101,0.43663594470046085,0.3986175115207373,0.6688741721854304,NO PARKING,Koramangala,BTP135 - UCO Bank Junction,Adugodi,SCOOTER,12.936720269265134,77.61557244387359,239.17541642811364,65.31,Chronic,70,151
89601690c2bffff,825,825,0.512510303030303,422.82099999999997,95,0.2896969696969697,0.2739393939393939,0.6291390728476821,NO PARKING,Sadahalli Gate Junction,No Junction,Chikkajala,CAR,13.191039786640756,77.64517618448407,235.33536341352598,65.12,Chronic,71,151
8961892c96fffff,909,909,0.4712321232123212,428.34999999999997,84,0.32123212321232125,0.34983498349834985,0.5562913907284768,WRONG PARKING,Nagashetty Halli,No Junction,Kodigehalli,MOTOR CYCLE,13.048010786985785,77.5765189678923,228.9743725074494,64.79,Chronic,72,151
8960145b437ffff,740,740,0.4915608108108108,363.755,96,0.4689189189189189,0.2959459459459459,0.6357615894039735,WRONG PARKING,Maharani College Junction,BTP038 - Mysore Bank Junction,Upparpet,CAR,12.975322351878015,77.581317598356,223.8730700912833,64.53,Chronic,73,151
8960145b063ffff,737,737,0.474280868385346,349.545,105,0.4396200814111262,0.35006784260515605,0.695364238410596,WRONG PARKING,Acharya Sri Ramanuja Circle,No Junction,Malleshwaram,CAR,13.001009906965388,77.56971391430437,221.62460256274318,64.41,Chronic,74,151
896189242afffff,724,724,0.5297665745856354,383.551,97,0.32044198895027626,0.324585635359116,0.6423841059602649,WRONG PARKING,BKL Colony,No Junction,HSR Layout,CAR,12.9056646806173,77.62889099881725,219.3651818623541,64.29,Chronic,75,151
89601458493ffff,734,734,0.46942915531335144,344.561,101,0.48092643051771117,0.2656675749318801,0.6688741721854304,WRONG PARKING,Police Quarters,"BTP022 - Marenahalli Junction, Vijayanagar",Vijayanagara,SCOOTER,12.96905246033686,77.5378998091042,218.77761327390508,64.25,Chronic,76,151
8960145b5d7ffff,695,695,0.4887410071942446,339.675,98,0.5079136690647482,0.24172661870503598,0.6490066225165563,WRONG PARKING,Medarpet,BTP082 - KR Market Junction,City Market,SCOOTER,12.967855321823299,77.57698046332845,215.36142676640148,64.07,Chronic,77,151
89618920a2bffff,876,876,0.4880821917808219,427.56,66,0.3698630136986301,0.2579908675799087,0.4370860927152318,WRONG PARKING,Vijetha Lapis Lazati,No Junction,HAL Old Airport,SCOOTER,12.966276129135844,77.71725580605394,211.78241857933412,63.87,Recurring,78,151
89618920973ffff,611,611,0.5383469721767594,328.93,104,0.4320785597381342,0.2193126022913257,0.6887417218543046,WRONG PARKING,Darshan Layout,No Junction,HAL Old Airport,SCOOTER,12.938544576095943,77.69749775856803,206.73293817322596,63.58,Chronic,79,151
8960145849bffff,679,679,0.4721649484536082,320.59999999999997,100,0.5154639175257731,0.2768777614138439,0.6622516556291391,WRONG PARKING,Vijaya Nagar,BTP028 - Vijayanagar Bus Stand Junction,Vijayanagara,SCOOTER,12.972256014821763,77.53855451500966,206.0858037823445,63.54,Chronic,80,151
8961892e923ffff,681,681,0.475712187958884,323.96,101,0.4801762114537445,0.29809104258443464,0.6688741721854304,WRONG PARKING,Shivaji Nagar,BTP211 - Central Street Junction,Shivajinagar,PASSENGER AUTO,12.985937751109661,77.60316119029105,205.61918977740171,63.52,Chronic,81,151
8961892e9afffff,646,646,0.4794891640866873,309.75,103,0.5464396284829721,0.37306501547987614,0.6821192052980133,WRONG PARKING,Tasker Town,BTP211 - Central Street Junction,Shivajinagar,SCOOTER,12.980587322353712,77.60487669651708,205.19392655772663,63.49,Chronic,82,151
8960145b3afffff,756,756,0.4741666666666666,358.46999999999997,89,0.3955026455026455,0.2751322751322751,0.5894039735099338,WRONG PARKING,Dr M Munivenkataswamy Circle,"BTP026 - 1st Block Junction, Rajajinagar",Malleshwaram,CAR,13.0032068760867,77.55049845089017,204.83422207505518,63.47,Chronic,83,151
89618926387ffff,814,814,0.4505282555282555,366.72999999999996,110,0.14496314496314497,0.49017199017199015,0.7284768211920529,NO PARKING,Himagiri Residency,No Junction,Electronic City,SCOOTER,12.842513524410172,77.64407186156959,201.9913298989537,63.31,Chronic,84,151
8961892421bffff,784,784,0.43660714285714286,342.3,86,0.4017857142857143,0.36607142857142855,0.5695364238410596,NO PARKING,The Metropolitan Cooperative Housing Society,No Junction,HSR Layout,SCOOTER,12.912041936787116,77.63863034904476,193.13880794701987,62.78,Chronic,85,151
8961892e94fffff,871,871,0.42835820895522386,373.09999999999997,92,0.1515499425947187,0.31228473019517794,0.609271523178808,NO PARKING,Silver Enclave,No Junction,Pulikeshinagar(F.Town),SCOOTER,12.995523330260134,77.61355582015858,188.6938902836809,62.5,Chronic,86,151
8960145a22fffff,710,710,0.49138028169014086,348.88,73,0.43380281690140843,0.46901408450704224,0.48344370860927155,WRONG PARKING,RPC Layout,"BTP016 - 5th Main Road, RPC Layout",Vijayanagara,CAR,12.9658489119973,77.53724512164958,186.2254469098032,62.34,Recurring,87,151
8960145b017ffff,656,656,0.43717987804878045,286.78999999999996,100,0.5289634146341463,0.25914634146341464,0.6622516556291391,NO PARKING,Shree MG Seshadri Circle,No Junction,Sheshadripuram,SCOOTER,12.990311883618732,77.57314493918025,185.58708526893878,62.3,Chronic,88,151
8960145b52bffff,590,590,0.49373728813559326,291.305,107,0.41694915254237286,0.3050847457627119,0.7086092715231788,WRONG PARKING,Annapurneshwari Industrial Area,BTP074 - Leprosy Hospital Junction,Magadi Road,SCOOTER,12.974319269628984,77.56144617373971,184.31454930070714,62.22,Chronic,89,151
89618925403ffff,794,794,0.4523551637279597,359.17,87,0.21662468513853905,0.09319899244332494,0.5761589403973509,NO PARKING,Bellandur Circle,No Junction,Bellandur,PASSENGER AUTO,12.925788117578264,77.67800356819558,183.90639980649573,62.2,Chronic,90,151
8961892e0cfffff,626,626,0.5411038338658147,338.731,53,0.694888178913738,0.6293929712460063,0.3509933774834437,NO PARKING,Phoenix Marketcity,No Junction,Mahadevapura,PASSENGER AUTO,12.995227461434123,77.69786823764227,181.58555964200326,62.04,Recurring,91,151
8960145b6a3ffff,969,969,0.4572755417956656,443.09999999999997,56,0.11042311661506708,0.31785345717234265,0.3708609271523179,WRONG PARKING,Kumar Park,BTP032 - Windsor Circle,High ground,SCOOTER,12.993461365885471,77.59064881109155,177.68576794537964,61.79,Recurring,92,151
8960145b103ffff,658,658,0.4510638297872341,296.8,98,0.3860182370820669,0.28419452887537994,0.6490066225165563,NO PARKING,Bescom Employees House Building Cooperative Society,BTP061 - Bhashyam Circle,Rajajinagar,SCOOTER,12.986102812430351,77.55261939882277,176.75393208397918,61.73,Chronic,93,151
8961892eca7ffff,618,618,0.46101456310679606,284.907,101,0.42718446601941745,0.4029126213592233,0.6688741721854304,NO PARKING,Indiranagar,No Junction,Jeevanbheemanagar,MOTOR CYCLE,12.9697667624083,77.64201827171635,175.99276742750592,61.67,Chronic,94,151
89601459563ffff,537,537,0.5194078212290503,278.92199999999997,97,0.49162011173184356,0.3575418994413408,0.6423841059602649,WRONG PARKING,Gorguntepalya Junction,No Junction,Yeshwanthpura,SCOOTER,13.031029347929858,77.53652471455982,174.52474290280804,61.57,Chronic,95,151
8960145b32bffff,611,611,0.47619476268412436,290.955,97,0.40425531914893614,0.41407528641571195,0.6423841059602649,WRONG PARKING,Kirloskar Foundry,BTP023 - Mahalaxmi Layout Entrance,Malleshwaram,CAR,13.011758576354396,77.54943790760471,174.0679181907848,61.54,Chronic,96,151
8961892541bffff,781,781,0.47915492957746475,374.21999999999997,74,0.1446862996158771,0.23431498079385404,0.4900662251655629,WRONG PARKING,Citilights Liberty Apartment,No Junction,Bellandur,MAXI-CAB,12.926845510906242,77.68103314188804,170.8655055312004,61.32,Recurring,97,151
8960145b06bffff,676,676,0.45696745562130175,308.90999999999997,86,0.35502958579881655,0.23668639053254437,0.5695364238410596,WRONG PARKING,Malleshwara Extension,No Junction,Malleshwaram,CAR,13.004213914408993,77.5703692538205,170.0136826678161,61.26,Chronic,98,151
8961892eba3ffff,676,676,0.43946745562130174,297.08,95,0.32988165680473375,0.40236686390532544,0.6291390728476821,NO PARKING,Sri Ramakrishnappa Circle,No Junction,Pulikeshinagar(F.Town),SCOOTER,13.000873807961767,77.6118402142471,169.06260630902466,61.2,Chronic,99,151
